scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm
narrowband,structured,naive,phi,radioml,2,300,0.9831848698463723,0.9496566490622306,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.026518203179705654,0.0,0.11333333333333333,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,3,300,0.9814096591630956,0.9441120939453993,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02474299249642871,0.0,0.14333333333333334,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,4,300,0.9799808361324178,0.9426565472072548,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02331416946575114,0.0,0.11,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,5,300,0.9814179208532687,0.943339421816592,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.024751254186602154,0.0,0.07666666666666666,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,6,300,0.9784802397999424,0.9381510740527891,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02181357313327572,0.0,0.18666666666666668,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,7,300,0.9800883017687024,0.9349529334416503,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.023421635102035744,0.0,0.12,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,8,300,0.9812924955276806,0.9485878704768965,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02462582886101401,0.0,0.2733333333333333,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,9,300,0.9812483588889105,0.940986768441911,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02458169222224368,0.0,0.12666666666666668,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,10,300,0.9819220649641691,0.9450504107742224,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.025255398297502462,0.0,0.12,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,11,300,0.9794627237515618,0.9342265965794495,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.022796057084895197,0.0,0.17,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,12,300,0.9819965101206837,0.945110612857599,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02532984345401713,0.0,0.13666666666666666,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,13,300,0.9822530523706859,0.947537734319764,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02558638570401935,0.0,0.17666666666666667,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,14,300,0.9798767808672086,0.9309939833447555,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.023210114200541934,0.0,0.17666666666666667,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,15,300,0.9790945490613235,0.944311017964978,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02242788239465696,0.0,0.19666666666666666,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,16,300,0.9791182300935835,0.9338914963323571,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.022451563426916895,0.0,0.09333333333333334,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,17,300,0.9813158008933173,0.9458374742868509,0.0,0.9566666666666667,2,0.0,0.0,30.0,56.38888888888888,0.024649134226650684,0.0,0.24,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,18,300,0.9809098098004165,0.9346571372891288,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.024243143133749947,0.0,0.15666666666666668,0.0,0.0,0.0,0.9566666666666667
