mcs,snr,pdr,n
11,19,0.9769155149121895,19246
11,20,0.9866686655147882,9839
11,21,0.9952063106796116,824
12,-6,1.0,376
12,9,0.954454954954955,444
12,10,0.9603210498409332,3772
12,11,0.972631538996774,15809
12,12,0.9429971563981043,15825
12,13,0.9304887640449437,45924
12,14,0.9540330598957044,101059
12,15,0.9743232704402516,127995
12,16,0.9810998733715777,104242
12,17,0.9802968511253355,96860
12,18,0.976574351270871,75224
12,19,0.9731230677145682,38426
12,20,0.982961967276413,20719
12,21,0.9953529171766626,2451
13,-6,1.0,1416
13,9,0.9379852216748769,406
13,10,0.9629062586159359,3627
13,11,0.9751146171373334,14483
13,12,0.9427396937573616,10188
13,13,0.9387762531328321,15960
13,14,0.9399872951940529,40221
13,15,0.9516025722327915,89883
13,16,0.9735721940258638,127282
13,17,0.9767409078286458,205259
13,18,0.9723509787001278,212067
13,19,0.9718144826108691,140030
13,20,0.9821876861121351,70522
13,21,0.9941714710805282,5377
14,-6,1.0,266
14,3,0.9883636363636363,55
14,9,0.9179668049792531,241
14,10,0.9314721669980119,2012
14,11,0.9612415134845028,7453
14,12,0.9350401822027005,6147
14,13,0.9337051898951709,11638
14,14,0.9525167719225593,19318
14,15,0.9550042602314267,36383
14,16,0.9754161850445209,78727
14,17,0.9826988483685221,114620
14,18,0.9708078021756067,69314
14,19,0.9694512696771228,43515
14,20,0.9811393437777122,16915
14,21,0.9920024875621891,804
15,-6,1.0,104
15,9,0.9223841059602649,151
15,10,0.9226711362032463,1417
15,11,0.9534409566517189,5352
15,12,0.9265755829185224,3817
15,13,0.9244765584750129,5823
15,14,0.9415602182123373,9532
15,15,0.9595294767870303,13570
15,16,0.9677670571473801,25268
15,17,0.9727001868867777,64210
15,18,0.9773289486812785,60134
15,19,0.9682040502667029,22122
15,20,0.979140890688259,6175
15,21,0.9901481481481481,270
16,-6,1.0,271
16,9,0.9036301369863015,146
16,10,0.9057083333333333,1032
16,11,0.9447444416687484,4003
16,12,0.9234421613394216,2628
16,13,0.9258088572155765,3929
16,14,0.9555445292620866,6681
16,15,0.9695792986650728,10038
16,16,0.9644844338577443,18052
16,17,0.9526972603101636,37851
16,18,0.9790720151188266,59793
16,19,0.9772177210267047,15428
16,20,0.9855079519636482,3081
16,21,0.9905660377358491,106
17,-6,1.0,161
17,9,0.8968539325842696,89
17,10,0.8995982142857143,672
17,11,0.9400254867256638,2825
17,12,0.8790435540069687,2296
17,13,0.8682523640661939,3384
17,14,0.9331682634730539,3340
17,15,0.9634199338686821,4234
17,16,0.9558486737820987,9463
17,17,0.9335609540399302,37315
17,18,0.9704605876528376,89883
17,19,0.9824412813451224,34495
17,20,0.9931570162785905,4853
17,21,0.9918367346938776,49
18,-6,1.0,275
18,9,0.8906976744186046,86
18,10,0.8879012345679013,567
18,11,0.943009238891333,2273
18,12,0.9117201166180757,1029
18,13,0.9207053364269142,1724
18,14,0.9604686369119421,3316
18,15,0.9761135734072022,3610
18,16,0.9719796643632774,5065
18,17,0.9269448020023241,22374
18,18,0.9562504987996798,93725
18,19,0.9822195958526881,102042
18,20,0.9938728882973277,19534
18,21,0.9923980582524272,103
19,-6,1.0,46
19,3,1.0,47
19,9,0.8716326530612245,49
19,10,0.8795675675675676,370
19,11,0.9426411657559198,1647
19,12,0.8968216560509553,628
19,13,0.8757877947295423,721
19,14,0.9432851458885941,1508
19,15,0.9609863364645602,1171
19,16,0.9806221136767317,2252
19,17,0.929800945508833,4019
19,18,0.9543940835266822,17240
19,19,0.9720853382513203,11929
19,20,0.983069306930693,1717
19,21,0.9913081827842721,941
20,9,0.9,43
20,10,0.8786486486486486,296
20,11,0.9692470226661544,2603
20,12,0.8938071979434447,389
20,13,0.8545876010781672,371
20,14,0.8949720853858785,609
20,15,0.9704288337924701,1089
20,16,0.9899236725663716,2712
20,17,0.9623986835919135,2127
20,18,0.9610064346997139,4196
20,19,0.9760110477548111,2806
20,20,0.9823963254593177,381
20,21,0.9889807162534435,363
21,-6,1.0,56
21,9,0.8970454545454545,44
21,10,0.9874612857813234,2131
21,11,0.9666862910008411,2378
21,12,0.9428898128898129,481
