scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,dropped
compromised_xapp,shield_repair,naive,loo,radioml,1,300,0.991060798592659,0.9739582591099833,0.0,0.14333333333333334,1,0.0,0.46066666666666667,26.516666666666666,39.53399241716144,0.8477274652593257,0.0,0.04,0.10333333333333333,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,2,300,0.9902232146491391,0.9739990545059191,0.0,0.18333333333333332,1,0.0,0.49,26.823333333333334,44.13038365997444,0.8068898813158057,0.0,0.10333333333333333,0.08666666666666667,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,3,300,0.991194607710493,0.9739975990393982,0.0,0.15,1,0.0,0.484,26.9,41.70703841978707,0.8411946077104929,0.0,0.07333333333333333,0.08333333333333333,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,4,300,0.9914801061553373,0.9748318421191194,0.0,0.19,1,0.0,0.47533333333333333,26.793333333333333,40.436011617719785,0.8014801061553374,0.0,0.10333333333333333,0.1,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,5,300,0.9910840670812628,0.9739999989600181,0.0,0.13,1,0.0,0.478,26.816666666666666,43.26681634546129,0.8610840670812627,0.0,0.02666666666666667,0.10333333333333333,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,6,300,0.9915893434902443,0.9739804614860734,0.0,0.19333333333333333,1,0.0,0.46,26.863333333333333,43.29006586627735,0.7982560101569111,0.0,0.08333333333333333,0.12333333333333334,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,7,300,0.9919706226042696,0.9750845083194541,0.0,0.16333333333333333,1,0.0,0.4666666666666667,26.913333333333334,39.64877545446947,0.8286372892709363,0.0,0.043333333333333335,0.12333333333333334,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,8,300,0.9907921914528168,0.9739756675093415,0.0,0.21666666666666667,1,0.0,0.464,26.886666666666667,39.20189281337173,0.77412552478615,0.0,0.12333333333333334,0.12333333333333334,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,9,300,0.9913524268750367,0.9739999274472857,0.0,0.20666666666666667,1,0.0,0.48733333333333334,26.68,41.78970312413533,0.7846857602083699,0.0,0.11333333333333333,0.11333333333333333,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,10,300,0.9913628175244514,0.9739974664519352,0.0,0.16,1,0.0,0.48,27.153333333333332,43.89536628919334,0.8313628175244513,0.0,0.05,0.11666666666666667,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,11,300,0.9889732472001546,0.9739999184590586,0.0,0.16333333333333333,1,0.0,0.4706666666666667,26.743333333333332,40.52842617361668,0.8256399138668211,0.0,0.06333333333333334,0.1,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,12,300,0.9918211682407662,0.9809917934482172,0.0,0.15,1,0.0,0.466,26.83,38.62713267393605,0.8418211682407662,0.0,0.07,0.08333333333333333,0.0,0.0,0.0,phi_bh
compromised_xapp,shield_repair,naive,loo,radioml,13,300,0.9889017372639969,0.9739981885644363,0.0,0.17666666666666667,1,0.0,0.4786666666666667,26.566666666666666,38.09070278257819,0.8122350705973302,0.0,0.08333333333333333,0.11333333333333333,0.0,0.0,0.0,phi_bh
