scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,ceiling_dbm
wideband,shield_repair,adaptive,phi,radioml,13,300,0.4209250766942643,1.8258399048157264e-05,0.0,0.10333333333333333,221,0.0,0.0,22.78,35.0,0.317591743360931,0.0,0.0,0.0,0.0,1.0,0.10333333333333333,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,14,300,0.3991066121081322,0.00010230802157169943,0.0,0.1,221,0.0,0.0,22.82,35.0,0.2991066121081322,0.0,0.0,0.0,0.0,1.0,0.1,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,15,300,0.40235601027774187,3.827514295706878e-05,0.0,0.10666666666666667,221,0.0,0.0,22.77,35.0,0.29568934361107513,0.0,0.0,0.0,0.0,1.0,0.10666666666666667,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,16,300,0.40668666545510956,6.799463042238469e-05,0.0,0.08333333333333333,36,0.0,0.0,22.82,35.0,0.3233533321217762,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,17,300,0.40629225028294463,6.712943183792503e-05,0.0,0.06,221,0.0,0.0,22.66,35.0,0.34629225028294464,0.0,0.0,0.0,0.0,1.0,0.06,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,18,300,0.41651628299459226,2.5000126418722897e-05,0.0,0.11333333333333333,58,0.0,0.0,22.78,35.0,0.3031829496612589,0.0,0.0,0.0,0.0,1.0,0.11333333333333333,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,19,300,0.4229224549506235,2.5116147137018408e-05,0.0,0.09666666666666666,221,0.0,0.0,22.67,35.0,0.32625578828395685,0.0,0.0,0.0,0.0,1.0,0.09666666666666666,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,20,300,0.39998534828593973,8.591202915816999e-05,0.0,0.05333333333333334,221,0.0,0.0,22.74,35.0,0.3466520149526064,0.0,0.0,0.0,0.0,1.0,0.05333333333333334,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,21,300,0.3984363771417791,3.596811253471321e-05,0.0,0.10333333333333333,221,0.0,0.0,22.77,35.0,0.29510304380844576,0.0,0.0,0.0,0.0,1.0,0.10333333333333333,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,22,300,0.4245790182308677,1.7287890381051317e-05,0.0,0.11,222,0.0,0.0,22.73,35.0,0.31457901823086765,0.0,0.0,0.0,0.0,1.0,0.11,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,23,300,0.3948331231398754,3.59557859612406e-05,0.0,0.11666666666666667,221,0.0,0.0,22.79,35.0,0.27816645647320876,0.0,0.0,0.0,0.0,1.0,0.11666666666666667,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,24,300,0.40662504200802035,4.161121224022033e-05,0.0,0.07333333333333333,221,0.0,0.0,22.75,35.0,0.333291708674687,0.0,0.0,0.0,0.0,1.0,0.07333333333333333,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,25,300,0.40820287091431706,1.4741528582600499e-05,0.0,0.11,133,0.0,0.0,22.71,35.0,0.2982028709143171,0.0,0.0,0.0,0.0,1.0,0.11,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,26,300,0.42111506440183705,1.9612807746656255e-05,0.0,0.09,221,0.0,0.0,22.67,35.0,0.331115064401837,0.0,0.0,0.0,0.0,1.0,0.09,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,27,300,0.4226580244860575,2.1334715619745176e-05,0.0,0.12666666666666668,26,0.0,0.0,22.65,35.0,0.29599135781939084,0.0,0.0,0.0,0.0,1.0,0.12666666666666668,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,28,300,0.4028468937558043,2.8165726574073932e-05,0.0,0.09666666666666666,40,0.0,0.0,22.63,35.0,0.3061802270891376,0.0,0.0,0.0,0.0,1.0,0.09666666666666666,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,29,300,0.4074177964686171,2.475341822366701e-05,0.0,0.07,221,0.0,0.0,22.78,35.0,0.3374177964686171,0.0,0.0,0.0,0.0,1.0,0.07,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,0,300,0.9623373684835596,0.8333653542989491,0.0,0.0,4,0.0,0.0,22.55,35.0,0.9623373684835596,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,1,300,0.9543562483294074,0.8932580643249871,0.0,0.0,1,0.0,0.0,22.6,35.0,0.9543562483294074,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,2,300,0.9640891999565027,0.8839116369124144,0.0,0.0,6,0.0,0.0,22.68,35.0,0.9640891999565027,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,3,300,0.9525838768777544,0.8140140458977773,0.0,0.0,1,0.0,0.0,22.65,35.0,0.9525838768777544,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,4,300,0.9671460254877671,0.9162161919846877,0.0,0.0,1,0.0,0.0,22.54,35.0,0.9671460254877671,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,5,300,0.9593585500189206,0.8883839694029071,0.0,0.0,1,0.0,0.0,22.62,35.0,0.9593585500189206,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,6,300,0.9565180621187517,0.8879779186617929,0.0,0.0,1,0.0,0.0,22.66,35.0,0.9565180621187517,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,7,300,0.9605241735568093,0.8612341136705446,0.0,0.0,2,0.0,0.0,22.64,35.0,0.9605241735568093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
