scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,twin
backhaul,greedy_twin,naive,phi,radioml,0,300,0.9591981418343232,0.9139638293079331,0.22666666666666666,0.32666666666666666,1,0.0,0.0,26.883333333333333,42.295148139248106,0.6325314751676566,0.05,0.22333333333333333,0.09,0.0,0.0,0.006666666666666667,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,1,300,0.9579361323088036,0.9139611442302684,0.23666666666666666,0.25,1,0.0,0.0,26.406666666666666,39.1111221231519,0.7079361323088036,0.1,0.1,0.08333333333333333,0.0,0.0,0.013333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,2,300,0.9565487209480917,0.9139402252138757,0.25,0.30333333333333334,1,0.0,0.0,26.546666666666667,43.93449318705017,0.6532153876147582,0.09333333333333334,0.14666666666666667,0.09333333333333334,0.0,0.0,0.013333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,3,300,0.9547754766880981,0.9139305954906806,0.22,0.29333333333333333,1,0.0,0.0,26.37,39.94726847191418,0.6614421433547648,0.07666666666666666,0.15666666666666668,0.08666666666666667,0.0,0.0,0.023333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,4,300,0.9580114434736879,0.91397014225373,0.2733333333333333,0.32666666666666666,1,0.0,0.0,26.85333333333333,46.32276806464242,0.6313447768070213,0.06,0.17,0.12333333333333334,0.0,0.0,0.03333333333333333,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,5,300,0.9505894896710416,0.9139228392444368,0.20333333333333334,0.23666666666666666,1,0.0,0.0,26.51,38.17160728019155,0.7139228230043748,0.09,0.12333333333333334,0.07333333333333333,0.0,0.0,0.0,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,6,300,0.9572424818254853,0.9139549687872812,0.21,0.26666666666666666,1,0.0,0.0,26.56,44.34341147687319,0.6905758151588187,0.06333333333333334,0.13333333333333333,0.10666666666666667,0.0,0.0,0.03,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,7,300,0.9568889276886,0.9139645645527568,0.27666666666666667,0.30666666666666664,1,0.0,0.0,26.803333333333335,49.32050850239419,0.6502222610219334,0.08,0.14,0.10666666666666667,0.0,0.0,0.02666666666666667,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,8,300,0.9550808542918326,0.9138755150593917,0.22666666666666666,0.2833333333333333,1,0.0,0.0,26.95,40.51610290332458,0.6717475209584993,0.08,0.16666666666666666,0.08666666666666667,0.0,0.0,0.04666666666666667,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,9,300,0.9591053363724021,0.913962621745165,0.22333333333333333,0.2833333333333333,1,0.0,0.0,26.563333333333333,42.206522920141325,0.6757720030390688,0.06666666666666667,0.16333333333333333,0.07,0.0,0.0,0.023333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,10,300,0.9560742717669019,0.9139149557328092,0.21,0.25666666666666665,1,0.0,0.0,26.82,39.56708127342428,0.6994076051002349,0.06666666666666667,0.13,0.08333333333333333,0.0033333333333333335,0.0,0.02666666666666667,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,11,300,0.9567869489142417,0.9139532497059614,0.21,0.22333333333333333,1,0.0,0.0,26.33,40.932411432187656,0.7334536155809084,0.08333333333333333,0.09,0.07666666666666666,0.0,0.0,0.013333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,12,300,0.9526170207572422,0.9139352221402257,0.22,0.25666666666666665,1,0.0,0.0,26.87,42.700927169175316,0.6959503540905755,0.07666666666666666,0.12666666666666668,0.07666666666666666,0.0,0.0,0.043333333333333335,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,13,300,0.9579227109639267,0.9137547261585753,0.22666666666666666,0.28,1,0.0,0.0,26.546666666666667,42.631766960275314,0.6779227109639265,0.08,0.14333333333333334,0.07,0.0,0.0,0.023333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,14,300,0.9557282507196506,0.9139678484918377,0.22666666666666666,0.2866666666666667,1,0.0,0.0,26.766666666666666,44.129313925864516,0.669061584052984,0.06,0.16333333333333333,0.10666666666666667,0.0,0.0,0.013333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,15,300,0.9610761668998744,0.9139683901328608,0.22333333333333333,0.2633333333333333,1,0.0,0.0,26.366666666666667,40.896168877293185,0.697742833566541,0.09666666666666666,0.11,0.08,0.0,0.0,0.016666666666666666,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,16,300,0.956349713035582,0.9139512591683691,0.23,0.27666666666666667,1,0.0,0.0,26.733333333333334,39.33299562822703,0.6796830463689156,0.08,0.13666666666666666,0.07333333333333333,0.0,0.0,0.02,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,17,300,0.9557773466334697,0.9135486500328964,0.2633333333333333,0.30333333333333334,1,0.0,0.0,26.733333333333334,43.1335840244721,0.6524440133001366,0.08666666666666667,0.14,0.1,0.0,0.0,0.03,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,18,300,0.9549686675687081,0.9139607809357974,0.24,0.29,1,0.0,0.0,26.93,44.90216439792422,0.6649686675687082,0.08333333333333333,0.15,0.10333333333333333,0.0,0.0,0.023333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,19,300,0.9577309197807244,0.9139377973512651,0.25333333333333335,0.2866666666666667,1,0.0,0.0,26.636666666666667,49.49400075165059,0.6710642531140578,0.07,0.15333333333333332,0.10666666666666667,0.0,0.0,0.016666666666666666,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,20,300,0.9581799131885964,0.9139637994156096,0.25666666666666665,0.29333333333333333,1,0.0,0.0,26.67,46.32061313058794,0.6648465798552631,0.09333333333333334,0.13666666666666666,0.09333333333333334,0.0,0.0,0.023333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,21,300,0.953398064688909,0.9132139378501727,0.24666666666666667,0.2866666666666667,1,0.0,0.0,26.643333333333334,41.157547408582076,0.6667313980222422,0.10333333333333333,0.13666666666666666,0.1,0.0,0.0,0.013333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,22,300,0.9611693318193818,0.9139512735387998,0.25333333333333335,0.30333333333333334,1,0.0,0.0,26.59,47.743459536121726,0.6578359984860487,0.09,0.16666666666666666,0.09,0.0,0.0,0.0,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,23,300,0.9571766461711627,0.9127604776588978,0.28,0.32666666666666666,1,0.0,0.0,26.93,38.59921863054174,0.6305099795044962,0.09,0.15,0.12,0.0,0.0,0.07666666666666666,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,24,300,0.9586066587218833,0.9139798789336772,0.24666666666666667,0.3,1,0.0,0.0,26.73,47.8493534200872,0.6586066587218834,0.09,0.13666666666666666,0.1,0.0,0.0,0.016666666666666666,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,25,300,0.9593700483557174,0.9139725273079179,0.21666666666666667,0.28,1,0.0,0.0,26.583333333333332,49.6475046314228,0.6793700483557171,0.07333333333333333,0.14333333333333334,0.08333333333333333,0.0,0.0,0.013333333333333334,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,26,300,0.9545412950269122,0.9139738693090892,0.21333333333333335,0.2633333333333333,1,0.0,0.0,26.85333333333333,44.72147825047991,0.6912079616935788,0.07,0.14333333333333334,0.07666666666666666,0.0,0.0,0.0,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,27,300,0.9594699784381934,0.913500112569087,0.2866666666666667,0.31333333333333335,1,0.0,0.0,26.616666666666667,42.768189309828635,0.6461366451048601,0.12,0.13,0.11666666666666667,0.0,0.0,0.02,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,28,300,0.9548749099858469,0.9139553081042944,0.22333333333333333,0.26,1,0.0,0.0,26.616666666666667,44.067418841979745,0.6948749099858469,0.09333333333333334,0.11,0.09,0.0,0.0,0.03333333333333333,label_as_truth
backhaul,greedy_twin,naive,phi,radioml,29,300,0.9579901999410512,0.9139773884922546,0.24666666666666667,0.30333333333333334,1,0.0,0.0,26.59,39.658628912915525,0.6546568666077178,0.1,0.14666666666666667,0.08333333333333333,0.0,0.0,0.023333333333333334,label_as_truth
backhaul,shield_filter,naive,phi,radioml,0,300,0.9466412928282398,0.9138843529372707,0.0,0.11333333333333333,1,0.006666666666666667,0.0,25.726666666666667,36.333253899309966,0.8333079594949063,0.0,0.11333333333333333,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,1,300,0.9433497114703835,0.9139494019455695,0.0,0.03666666666666667,1,0.02,0.0,25.663333333333334,39.4603943114844,0.9066830448037168,0.0,0.03666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,2,300,0.948273787706518,0.9139559664287756,0.0,0.07666666666666666,1,0.006666666666666667,0.0,25.74,40.616167809312564,0.8716071210398514,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,3,300,0.9483158137072333,0.9139305954906806,0.0,0.07333333333333333,1,0.006666666666666667,0.0,25.61,39.58122147862637,0.8749824803739,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,4,300,0.9532824519217195,0.9139412028549425,0.0,0.056666666666666664,1,0.0,0.0,25.82,40.48172238651032,0.8966157852550528,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,5,300,0.9442146214071534,0.8960751106622674,0.0,0.04,1,0.006666666666666667,0.0,25.793333333333333,39.719021134871234,0.9042146214071534,0.0,0.04,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,6,300,0.9468437667561564,0.913214993077125,0.0,0.056666666666666664,1,0.01,0.0,25.713333333333335,42.61255399126303,0.8901771000894898,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,7,300,0.9440463119637102,0.7791960183024181,0.0,0.03666666666666667,1,0.01,0.0,25.613333333333333,41.51350878851747,0.9073796452970434,0.0,0.03666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,8,300,0.9471431568074733,0.8951242336441001,0.0,0.043333333333333335,1,0.0033333333333333335,0.0,25.71,39.72540672843702,0.9038098234741397,0.0,0.043333333333333335,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,9,300,0.9474262150728486,0.9138551467083275,0.0,0.06,1,0.016666666666666666,0.0,25.44333333333333,38.49632614067287,0.8874262150728487,0.0,0.06,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,10,300,0.9500663729951199,0.9133528014436568,0.0,0.03666666666666667,1,0.006666666666666667,0.0,25.683333333333334,37.73892421118887,0.9133997063284534,0.0,0.03666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,11,300,0.9491585178229055,0.9135075123222416,0.0,0.013333333333333334,1,0.0033333333333333335,0.0,25.48,40.04200915190594,0.9358251844895722,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,12,300,0.944770841870627,0.9139430824298218,0.0,0.043333333333333335,1,0.006666666666666667,0.0,25.96,41.035340948667475,0.9014375085372937,0.0,0.043333333333333335,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,13,300,0.9450077054928843,0.9092720969697804,0.0,0.06666666666666667,1,0.006666666666666667,0.0,25.65,40.842233037598064,0.8783410388262176,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,14,300,0.95337807871499,0.9139641896421972,0.0,0.056666666666666664,1,0.0,0.0,25.773333333333333,39.29987036790334,0.8967114120483234,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,15,300,0.9538206629207013,0.9139611771981199,0.0,0.05333333333333334,1,0.0033333333333333335,0.0,25.713333333333335,38.195358796909616,0.900487329587368,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,16,300,0.9463421846787331,0.910611030010917,0.0,0.06666666666666667,1,0.01,0.0,25.736666666666668,39.40432583049038,0.8796755180120663,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,17,300,0.950280463000765,0.9139667463961588,0.0,0.043333333333333335,1,0.0033333333333333335,0.0,25.886666666666667,37.62684939281778,0.9069471296674315,0.0,0.043333333333333335,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,18,300,0.9489694192572938,0.9139574487831253,0.0,0.04666666666666667,3,0.006666666666666667,0.0,25.703333333333333,42.14996041576287,0.9023027525906271,0.0,0.04666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,19,300,0.945672034412958,0.8958606067178257,0.0,0.06,1,0.01,0.0,25.616666666666667,41.566555134827595,0.8856720344129579,0.0,0.06,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,20,300,0.9469676516434505,0.9096973530872167,0.0,0.043333333333333335,1,0.01,0.0,25.5,41.394322904836116,0.9036343183101172,0.0,0.043333333333333335,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,21,300,0.9457106700921774,0.9135338285557096,0.0,0.06666666666666667,2,0.0033333333333333335,0.0,25.94,40.64244497672264,0.8790440034255107,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,22,300,0.9491010914475502,0.9108787140341331,0.0,0.08333333333333333,1,0.006666666666666667,0.0,25.546666666666667,43.658052876646494,0.8657677581142169,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,23,300,0.943114326759591,0.8960697856899159,0.0,0.03,1,0.016666666666666666,0.0,25.606666666666666,40.41372294653044,0.9131143267595907,0.0,0.03,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,24,300,0.9515033168866222,0.9139586229708078,0.0,0.06,1,0.0033333333333333335,0.0,25.81,40.59428478266077,0.8915033168866224,0.0,0.06,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,25,300,0.9490983127897453,0.908162270423912,0.0,0.07333333333333333,1,0.006666666666666667,0.0,25.726666666666667,36.353517898392106,0.8757649794564121,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,26,300,0.9498701447556277,0.9139689587827071,0.0,0.07333333333333333,1,0.006666666666666667,0.0,26.07,40.038276917569696,0.8765368114222944,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,27,300,0.9504933483663794,0.8967115736385398,0.0,0.04,1,0.006666666666666667,0.0,25.60333333333333,41.8560088006957,0.9104933483663795,0.0,0.04,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,28,300,0.9486599287134027,0.9139528426699773,0.0,0.02666666666666667,1,0.006666666666666667,0.0,25.776666666666667,40.68757100808302,0.921993262046736,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_filter,naive,phi,radioml,29,300,0.9517578524909945,0.9139728916716446,0.0,0.056666666666666664,1,0.0,0.0,25.703333333333333,39.44932327675714,0.8950911858243279,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,0,300,0.9586489880189449,0.9139616774358239,0.0,0.13333333333333333,1,0.0,0.39066666666666666,25.76,39.148909686533024,0.8253156546856116,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,1,300,0.9585958935979907,0.8960798632382777,0.0,0.05333333333333334,1,0.0,0.4126666666666667,25.906666666666666,37.538589514418774,0.9052625602646571,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,2,300,0.9563890380872897,0.8960799623070069,0.0,0.09333333333333334,1,0.0,0.41333333333333333,25.873333333333335,43.436739347700886,0.8630557047539563,0.0,0.09333333333333334,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,3,300,0.9563981130325554,0.9139391285613192,0.0,0.09,1,0.0,0.396,25.9,39.61756120903953,0.8663981130325553,0.0,0.09,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,4,300,0.9570207238565448,0.910747864059676,0.0,0.07333333333333333,1,0.0,0.4166666666666667,26.053333333333335,41.25454998581056,0.8836873905232113,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,5,300,0.9517906788706629,0.9133078151348917,0.0,0.06666666666666667,1,0.0,0.394,25.573333333333334,43.53790495516633,0.8851240122039963,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,6,300,0.9561830667318387,0.9072190749087602,0.0,0.07333333333333333,1,0.0,0.394,26.076666666666668,43.57745723584043,0.8828497333985055,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,7,300,0.9574178439658583,0.8960796630872903,0.0,0.04666666666666667,1,0.0,0.4073333333333333,25.76,42.86186484044596,0.9107511772991915,0.0,0.04666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,8,300,0.9561188633869561,0.91391334267676,0.0,0.056666666666666664,1,0.0,0.4053333333333333,25.876666666666665,41.08036337526748,0.8994521967202894,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,9,300,0.9586500986029262,0.8960799798715434,0.0,0.1,2,0.0,0.37466666666666665,25.73,38.53838964321232,0.858650098602926,0.0,0.1,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,10,300,0.9565502065940592,0.9132404979842323,0.0,0.04,1,0.0,0.38866666666666666,26.17,38.96214314846229,0.9165502065940592,0.0,0.04,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,11,300,0.9582358260290444,0.9129807421487477,0.0,0.013333333333333334,1,0.0,0.41,25.593333333333334,39.410714231002125,0.9449024926957111,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,12,300,0.9534766672190758,0.9135609216016302,0.0,0.056666666666666664,1,0.0,0.37666666666666665,26.003333333333334,39.940078556492196,0.8968100005524091,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,13,300,0.9563518774846873,0.9128244858028922,0.0,0.08666666666666667,1,0.0,0.398,25.886666666666667,40.74904859514272,0.8696852108180206,0.0,0.08666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,14,300,0.9550596228640101,0.9139260473899988,0.0,0.07666666666666666,1,0.0,0.4126666666666667,25.94333333333333,41.42658163508939,0.8783929561973435,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,15,300,0.9609404917264144,0.9139475997689858,0.0,0.06333333333333334,1,0.0,0.392,25.64,37.757081344098836,0.8976071583930811,0.0,0.06333333333333334,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,16,300,0.9559356728222635,0.910611030010917,0.0,0.07,1,0.0,0.39466666666666667,26.006666666666668,38.88008285570653,0.8859356728222635,0.0,0.07,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,17,300,0.955791462696261,0.9133690549554873,0.0,0.06666666666666667,1,0.0,0.39066666666666666,26.09,39.19210161880328,0.8891247960295944,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,18,300,0.9548775643917892,0.9128452316203144,0.0,0.06333333333333334,1,0.0,0.414,26.006666666666668,40.24937092245382,0.8915442310584558,0.0,0.06333333333333334,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,19,300,0.9584206126889377,0.9138798009560992,0.0,0.056666666666666664,1,0.0,0.4066666666666667,25.81,45.91537642354394,0.9017539460222711,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,label_as_truth
