scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,atk_predicate_set
bursty,greedy_twin,adaptive,phi_plus,radioml,4,300,0.9827540663506034,0.9739216038201474,0.84,0.13333333333333333,1,0.0,0.0,28.05,50.59056634901441,0.8494207330172701,0.0,0.12333333333333334,0.0,0.0,0.6466666666666666,0.0,0.016666666666666666,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,5,300,0.978674279235388,0.9730253890905036,0.7633333333333333,0.11666666666666667,1,0.0,0.0,27.803333333333335,45.70724848674296,0.8620076125687215,0.0,0.11666666666666667,0.0,0.0,0.67,0.0,0.0,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,6,300,0.9837301482044855,0.9730797131376517,0.7833333333333333,0.13666666666666666,1,0.0,0.0,27.746666666666666,50.35474600281873,0.8470634815378189,0.0,0.12666666666666668,0.0,0.0,0.6866666666666666,0.0,0.016666666666666666,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,7,300,0.9831510226113672,0.9738793649968848,0.84,0.14666666666666667,1,0.0,0.0,28.016666666666666,51.20191213474827,0.8364843559447004,0.0,0.14333333333333334,0.0,0.0,0.65,0.0,0.023333333333333334,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,8,300,0.9810095490097099,0.9739473341495527,0.8333333333333334,0.08,1,0.0,0.0,28.08,53.57483796716948,0.90100954900971,0.0,0.08,0.0,0.0,0.65,0.0,0.0,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,9,300,0.9805607752539508,0.9734825011891558,0.8133333333333334,0.12666666666666668,1,0.0,0.0,27.983333333333334,50.76978830242521,0.8538941085872841,0.0,0.11333333333333333,0.0,0.0,0.6866666666666666,0.0,0.013333333333333334,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,10,300,0.9811555223777136,0.9724132706197769,0.8533333333333334,0.14333333333333334,1,0.0,0.0,28.093333333333334,51.19501052751113,0.8378221890443802,0.0,0.12666666666666668,0.0,0.0,0.6433333333333333,0.0,0.03,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,11,300,0.9843051398041621,0.9736164112193698,0.8333333333333334,0.25666666666666665,1,0.0,0.0,28.003333333333334,44.06020433460309,0.7276384731374953,0.0,0.24,0.0,0.0,0.6266666666666667,0.0,0.016666666666666666,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,12,300,0.9791283800562754,0.9737902801690104,0.8366666666666667,0.19,2,0.0,0.0,28.266666666666666,55.03169000315776,0.7891283800562753,0.0,0.14666666666666667,0.0,0.0,0.6433333333333333,0.0,0.056666666666666664,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,13,300,0.9831578389910473,0.973724096543859,0.8233333333333334,0.19333333333333333,1,0.0,0.0,27.933333333333334,47.81668778740671,0.789824505657714,0.0,0.17666666666666667,0.0,0.0,0.67,0.0,0.03,phi
