scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,bler_slope
wideband,heuristic,naive,phi,radioml,6,300,0.6977761740264331,0.13212770223375966,0.0,0.0,221,0.0,0.0,26.0,44.16666666666665,0.6977761740264331,0.0,0.0,0.0,0.0,0.0,0.0,0.5
wideband,heuristic,naive,phi,radioml,7,300,0.6977967871881774,0.11666336789310867,0.0,0.0,221,0.0,0.0,26.0,44.16666666666665,0.6977967871881774,0.0,0.0,0.0,0.0,0.0,0.0,0.5
wideband,heuristic,naive,phi,radioml,8,300,0.6811370987306463,0.0838169578203727,0.0,0.0,221,0.0,0.0,26.0,44.16666666666665,0.6811370987306463,0.0,0.0,0.0,0.0,0.0,0.0,0.5
wideband,heuristic,naive,phi,radioml,9,300,0.6798344146582486,0.08173265887445338,0.0,0.0,221,0.0,0.0,26.0,44.16666666666665,0.6798344146582486,0.0,0.0,0.0,0.0,0.0,0.0,0.5
wideband,greedy_twin,naive,phi,radioml,0,300,0.8269900354315438,0.455865124279697,0.4766666666666667,0.9,2,0.0,0.0,30.28,56.39827526123408,-0.07300996456845615,0.17333333333333334,0.5333333333333333,0.13,0.0,0.0,0.7966666666666666,0.5
wideband,greedy_twin,naive,phi,radioml,1,300,0.8269994937922999,0.46210602775498927,0.47333333333333333,0.89,3,0.0,0.0,30.463333333333335,61.17077136425492,-0.06300050620770016,0.13,0.52,0.11333333333333333,0.0,0.0,0.81,0.5
wideband,greedy_twin,naive,phi,radioml,2,300,0.8252270288799615,0.3301973986136678,0.49333333333333335,0.9433333333333334,1,0.0,0.0,30.866666666666667,56.47203057017128,-0.11810630445337199,0.12333333333333334,0.53,0.11,0.0,0.0,0.8733333333333333,0.5
wideband,greedy_twin,naive,phi,radioml,3,300,0.8388264484340219,0.4599921553642005,0.5033333333333333,0.88,3,0.0,0.0,30.876666666666665,57.167919147671945,-0.041173551565978246,0.11333333333333333,0.5266666666666666,0.13666666666666666,0.0,0.0,0.8,0.5
wideband,greedy_twin,naive,phi,radioml,4,300,0.8151858768250496,0.3720243505202848,0.48,0.8733333333333333,6,0.0,0.0,30.346666666666668,63.19097455624364,-0.058147456508283735,0.12,0.45666666666666667,0.15333333333333332,0.0,0.0,0.7833333333333333,0.5
wideband,greedy_twin,naive,phi,radioml,5,300,0.8227107479188689,0.3903411767101318,0.48333333333333334,0.8733333333333333,1,0.0,0.0,30.293333333333333,52.72998221678578,-0.050622585414464405,0.12,0.47333333333333333,0.11666666666666667,0.0,0.0,0.7633333333333333,0.5
wideband,greedy_twin,naive,phi,radioml,6,300,0.8203048017745918,0.46452579180125236,0.4533333333333333,0.9133333333333333,5,0.0,0.0,30.66,51.72558582463393,-0.09302853155874156,0.12,0.4666666666666667,0.10333333333333333,0.0,0.0,0.87,0.5
