condition,scenario,controller,seed,cycles,mean_pdr,p95_latency_proxy,safety_violations,violation_rate,recovery_cycles,rollbacks,admitted_actions,total_proposals,mean_reward
radioml,wideband,heuristic,1,300,0.9277008710430357,6.279854733858548,0,0.0,2,0,0,0,0.46770087104303554
radioml,wideband,heuristic,2,300,0.9261552436089634,8.48497956093962,0,0.0,1,0,0,0,0.4661552436089633
radioml,wideband,heuristic,3,300,0.916274664230173,6.998395299355637,0,0.0,2,0,0,0,0.4562746642301729
radioml,wideband,heuristic,4,300,0.934338226734623,3.65824155467664,0,0.0,1,0,0,0,0.47433822673462295
radioml,wideband,heuristic,5,300,0.9009381214618915,8.526780943297709,0,0.0,3,0,0,0,0.44093812146189143
radioml,wideband,heuristic,6,300,0.945459094566675,1.2238619296490267,0,0.0,2,0,0,0,0.4854590945666748
radioml,wideband,heuristic,7,300,0.9108643048554387,7.721490517130385,0,0.0,1,0,0,0,0.4508643048554387
radioml,wideband,heuristic,8,300,0.933915516977287,1.6135549895313206,0,0.0,1,0,0,0,0.47391551697728695
radioml,wideband,heuristic,9,300,0.9419889870092697,1.6348643614829532,0,0.0,1,0,0,0,0.4819889870092697
radioml,wideband,rl,0,300,0.8490113208418086,20.288371967101238,67,0.22333333333333333,2,0,300,1500,0.143144654175142
radioml,wideband,rl,1,300,0.8263224855256887,537.854031414397,83,0.27666666666666667,1,0,300,1500,0.06972248552568858
radioml,wideband,rl,2,300,0.8573346853700237,52.79882137187458,87,0.29,2,0,300,1500,0.0912680187033571
radioml,wideband,rl,3,300,0.8271045857699255,34.13559870038089,71,0.23666666666666666,1,0,300,1500,0.12250458576992553
radioml,wideband,rl,4,300,0.8352992628442927,415.2027127560312,79,0.2633333333333333,4,0,300,1500,0.09856592951095941
radioml,wideband,rl,5,300,0.8504171583012703,21.767156935020704,87,0.29,1,0,300,1500,0.08101715830127026
radioml,wideband,rl,6,300,0.8405616740660701,483.94127314195003,81,0.27,1,0,300,1500,0.09369500739940344
radioml,wideband,rl,7,300,0.8613669009833073,13.454928719452603,83,0.27666666666666667,1,0,300,1500,0.10730023431664056
radioml,wideband,rl,8,300,0.8298368339276831,34.18446541485205,74,0.24666666666666667,2,0,300,1500,0.1134368339276832
radioml,wideband,rl,9,300,0.8532778100798827,14.30570616993018,91,0.30333333333333334,1,0,300,1500,0.06354447674654926
radioml,wideband,llm_only,0,300,0.8323061941735055,943.360081865434,73,0.24333333333333335,5,0,300,1500,0.1102395275068388
radioml,wideband,llm_only,1,300,0.820426584612308,514.8901807656151,79,0.2633333333333333,1,0,300,1500,0.07749325127897456
radioml,wideband,llm_only,2,300,0.8526156774278788,286.3024380841668,73,0.24333333333333335,2,0,300,1500,0.13974901076121207
radioml,wideband,llm_only,3,300,0.8435974263302308,34.4461562813049,88,0.29333333333333333,1,0,300,1500,0.0721307596635641
radioml,wideband,llm_only,4,300,0.8269637651570985,534.2265756715381,84,0.28,1,0,300,1500,0.07103043182376526
radioml,wideband,llm_only,5,300,0.8379601636551396,27.022133790618444,88,0.29333333333333333,1,0,300,1500,0.07056016365513941
radioml,wideband,llm_only,6,300,0.8535334947958594,193.37934064526334,96,0.32,1,0,300,1500,0.053200161462526034
radioml,wideband,llm_only,7,300,0.8660621331553051,8.622766179406302,77,0.25666666666666665,1,0,300,1500,0.13432879982197177
radioml,wideband,llm_only,8,300,0.8368342258031994,785.481493597315,82,0.2733333333333333,2,0,300,1500,0.08923422580319948
radioml,wideband,llm_only,9,300,0.8446748894600216,37.762579197361575,88,0.29333333333333333,1,0,300,1500,0.07580822279335483
radioml,wideband,shield_ric,0,300,0.8345454114286509,908.7940570314906,0,0.0,2,0,300,1500,0.3747454114286509
radioml,wideband,shield_ric,1,300,0.8389835409152261,32.53584940458665,0,0.0,1,0,300,1500,0.37778354091522603
radioml,wideband,shield_ric,2,300,0.8279515342338294,283.67200325097053,0,0.0,2,2,298,1500,0.36775153423382945
radioml,wideband,shield_ric,3,300,0.8226098725337564,40.13236157452398,0,0.0,2,6,294,1500,0.3624098725337563
radioml,wideband,shield_ric,4,300,0.8273554899579985,957.7879806492047,0,0.0,3,5,295,1500,0.36635548995799844
radioml,wideband,shield_ric,5,300,0.8191529737801885,935.3251126599326,0,0.0,1,4,296,1500,0.3581529737801883
radioml,wideband,shield_ric,6,300,0.8661240239160896,12.490649272375508,0,0.0,1,2,298,1500,0.4055240239160895
radioml,wideband,shield_ric,7,300,0.8348935189844948,13.512628518966492,0,0.0,1,2,298,1500,0.3734935189844948
